advertiser_id,campaign_id,adgroup_id,ad_id,stat_time_day,stat_time_hour,gender,age,country_code,province_id,dma_id,ac,language,platform,interest_category,interest_category_tier2,interest_category_tier3,interest_category_tier4,behavior_id,placement,device_brand_id,campaign_name,adgroup_name,ad_name,ad_text,tt_app_id,tt_app_name,mobile_app_id,device_brand_name,behavior_name,action_category,action_scene,user_action,action_period,promotion_type,dpa_target_audience_type,spend,cpc,cpm,impressions,clicks,ctr,conversion,cost_per_conversion,conversion_rate,real_time_conversion,real_time_cost_per_conversion,real_time_conversion_rate,result,cost_per_result,result_rate,real_time_result,real_time_cost_per_result,real_time_result_rate
,1710135894381586,,,2021-09-16 00:00:00,,FEMALE,AGE_13_17,,,,,,,,,,,,,,Florese Test 1,,,,,,,,,,,,,,,0.42,0,6.09,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,1710135894381586,,,2021-09-15 00:00:00,,FEMALE,AGE_18_24,,,,,,,,,,,,,,Florese Test 1,,,,,,,,,,,,,,,2.38,0,8.88,268,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,1710137408454705,,,2021-09-15 00:00:00,,FEMALE,AGE_35_44,,,,,,,,,,,,,,Florese 2,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,1710135894381586,,,2021-09-22 00:00:00,,FEMALE,AGE_35_44,,,,,,,,,,,,,,Florese Test 1,,,,,,,,,,,,,,,0.08,0,4.71,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,1712292991426561,,,2021-10-04 00:00:00,,FEMALE,AGE_18_24,,,,,,,,,,,,,,Traffic20210930123839,,,,,,,,,,,,,,,0.54,0.11,1.94,279,5,1.79,1,0.54,20,1,0.54,20,5,0.108,1.79,5,0.108,1.79
,1710137408454705,,,2021-09-15 00:00:00,,FEMALE,AGE_18_24,,,,,,,,,,,,,,Florese 2,,,,,,,,,,,,,,,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,1712292991426561,,,2021-10-02 00:00:00,,MALE,AGE_13_17,,,,,,,,,,,,,,Traffic20210930123839,,,,,,,,,,,,,,,9.21,0.12,1.54,5997,80,1.33,6,1.54,7.5,6,1.54,7.5,80,0.1151,1.33,80,0.1151,1.33
,1712292991426561,,,2021-09-30 00:00:00,,MALE,AGE_35_44,,,,,,,,,,,,,,Traffic20210930123839,,,,,,,,,,,,,,,0.45,0.15,3.04,148,3,2.03,0,0,0,0,0,0,3,0.15,2.03,3,0.15,2.03
,1712292991426561,,,2021-10-04 00:00:00,,MALE,AGE_13_17,,,,,,,,,,,,,,Traffic20210930123839,,,,,,,,,,,,,,,9.12,0.1,1.35,6752,91,1.35,2,4.56,2.2,2,4.56,2.2,91,0.1002,1.35,91,0.1002,1.35
,1710137408454705,,,2021-09-16 00:00:00,,FEMALE,AGE_18_24,,,,,,,,,,,,,,Florese 2,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,1710135894381586,,,2021-09-24 00:00:00,,FEMALE,AGE_13_17,,,,,,,,,,,,,,Florese Test 1,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,1710135894381586,,,2021-09-25 00:00:00,,FEMALE,AGE_18_24,,,,,,,,,,,,,,Florese Test 1,,,,,,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,1712292991426561,,,2021-09-30 00:00:00,,FEMALE,AGE_25_34,,,,,,,,,,,,,,Traffic20210930123839,,,,,,,,,,,,,,,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,1710135894381586,,,2021-09-24 00:00:00,,FEMALE,AGE_45_54,,,,,,,,,,,,,,Florese Test 1,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,1710135894381586,,,2021-09-16 00:00:00,,FEMALE,AGE_18_24,,,,,,,,,,,,,,Florese Test 1,,,,,,,,,,,,,,,1.24,0,7.34,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,1712292991426561,,,2021-10-01 00:00:00,,FEMALE,AGE_45_54,,,,,,,,,,,,,,Traffic20210930123839,,,,,,,,,,,,,,,0.09,0.09,1.58,57,1,1.75,0,0,0,0,0,0,1,0.09,1.75,1,0.09,1.75
,1710135894381586,,,2021-09-22 00:00:00,,FEMALE,AGE_55_100,,,,,,,,,,,,,,Florese Test 1,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,1712292991426561,,,2021-10-03 00:00:00,,MALE,AGE_45_54,,,,,,,,,,,,,,Traffic20210930123839,,,,,,,,,,,,,,,0.16,0.08,0.92,173,2,1.16,0,0,0,0,0,0,2,0.08,1.16,2,0.08,1.16
,1710135894381586,,,2021-09-22 00:00:00,,FEMALE,AGE_18_24,,,,,,,,,,,,,,Florese Test 1,,,,,,,,,,,,,,,0.53,0,3.93,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,1710137408454705,,,2021-09-15 00:00:00,,FEMALE,AGE_13_17,,,,,,,,,,,,,,Florese 2,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,1710135894381586,,,2021-09-16 00:00:00,,FEMALE,AGE_55_100,,,,,,,,,,,,,,Florese Test 1,,,,,,,,,,,,,,,0.01,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,1712292991426561,,,2021-10-04 00:00:00,,FEMALE,AGE_45_54,,,,,,,,,,,,,,Traffic20210930123839,,,,,,,,,,,,,,,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,1710137408454705,,,2021-09-14 00:00:00,,FEMALE,AGE_45_54,,,,,,,,,,,,,,Florese 2,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,1712292991426561,,,2021-10-03 00:00:00,,MALE,AGE_35_44,,,,,,,,,,,,,,Traffic20210930123839,,,,,,,,,,,,,,,0.39,0.13,1.63,240,3,1.25,0,0,0,0,0,0,3,0.13,1.25,3,0.13,1.25
,1710135894381586,,,2021-09-20 00:00:00,,FEMALE,AGE_45_54,,,,,,,,,,,,,,Florese Test 1,,,,,,,,,,,,,,,0.04,0,4.44,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,1712292991426561,,,2021-10-03 00:00:00,,MALE,AGE_13_17,,,,,,,,,,,,,,Traffic20210930123839,,,,,,,,,,,,,,,9.68,0.11,1.48,6538,91,1.39,4,2.42,4.4,4,2.42,4.4,91,0.1064,1.39,91,0.1064,1.39
,1710135894381586,,,2021-09-25 00:00:00,,FEMALE,AGE_45_54,,,,,,,,,,,,,,Florese Test 1,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,1712292991426561,,,2021-10-01 00:00:00,,MALE,AGE_55_100,,,,,,,,,,,,,,Traffic20210930123839,,,,,,,,,,,,,,,0,0,0,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,1710135894381586,,,2021-09-17 00:00:00,,FEMALE,AGE_45_54,,,,,,,,,,,,,,Florese Test 1,,,,,,,,,,,,,,,0.06,0,10,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,1710135894381586,,,2021-09-17 00:00:00,,FEMALE,AGE_35_44,,,,,,,,,,,,,,Florese Test 1,,,,,,,,,,,,,,,0.12,0,7.06,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,1710135894381586,,,2021-09-17 00:00:00,,FEMALE,AGE_13_17,,,,,,,,,,,,,,Florese Test 1,,,,,,,,,,,,,,,0.14,0,3.11,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,1712292991426561,,,2021-10-04 00:00:00,,FEMALE,AGE_55_100,,,,,,,,,,,,,,Traffic20210930123839,,,,,,,,,,,,,,,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,1710135894381586,,,2021-09-16 00:00:00,,FEMALE,AGE_45_54,,,,,,,,,,,,,,Florese Test 1,,,,,,,,,,,,,,,0.08,0,8.89,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,1710135894381586,,,2021-09-22 00:00:00,,FEMALE,AGE_45_54,,,,,,,,,,,,,,Florese Test 1,,,,,,,,,,,,,,,0.01,0,2.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,1712292991426561,,,2021-10-01 00:00:00,,FEMALE,AGE_55_100,,,,,,,,,,,,,,Traffic20210930123839,,,,,,,,,,,,,,,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,1710137408454705,,,2021-09-14 00:00:00,,FEMALE,AGE_25_34,,,,,,,,,,,,,,Florese 2,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,1710135894381586,,,2021-09-22 00:00:00,,FEMALE,AGE_13_17,,,,,,,,,,,,,,Florese Test 1,,,,,,,,,,,,,,,0.13,0,2.77,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,1712292991426561,,,2021-10-03 00:00:00,,MALE,AGE_25_34,,,,,,,,,,,,,,Traffic20210930123839,,,,,,,,,,,,,,,0.11,0.11,0.97,113,1,0.88,0,0,0,0,0,0,1,0.11,0.88,1,0.11,0.88
,1712292991426561,,,2021-10-02 00:00:00,,MALE,AGE_45_54,,,,,,,,,,,,,,Traffic20210930123839,,,,,,,,,,,,,,,0.14,0.14,0.84,167,1,0.6,0,0,0,0,0,0,1,0.14,0.6,1,0.14,0.6
,1710135894381586,,,2021-09-20 00:00:00,,FEMALE,AGE_18_24,,,,,,,,,,,,,,Florese Test 1,,,,,,,,,,,,,,,0.5,0,2.98,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,1712292991426561,,,2021-09-30 00:00:00,,MALE,AGE_13_17,,,,,,,,,,,,,,Traffic20210930123839,,,,,,,,,,,,,,,9,0.14,1.81,4975,66,1.33,3,3,4.55,3,3,4.55,66,0.1364,1.33,66,0.1364,1.33
